Customer_ID,Name,Age,Gender,City,Purchase_Amount,Join_Date,Membership,Email,Phone,Salary,Last_Login
1001,Rahul,40,Female,Nashik,100,2023-01-12,Gold,rahul@gmail.com,9876543210,50000.0,2024-01-15
1002,Rahul,35,Female,Mumbai,2000,2023-02-15,Gold,rahul@gmail.com,9876543210,52000.0,2023-07-30
1003,Vikas,30,Male,Mumbai,50000,2021-08-14,Silver,vikas@gmail.com,98XXXXXXXX,65000.0,2023-10-01
1004,Suresh,40,Female,Pune,4000,2023-01-12,Silver,unknown@gmail.com,9876500000,54056.0,2023-12-11
1005,Rina,30,Female,Delhi,3500,2023-06-25,Silver,rina@gmail.com,9876501234,45000.0,2023-09-20
1006,Aman,40,Male,Delhi,7170,2022-10-10,Gold,aman@gmail.com,98XXXXXXXX,47000.0,2023-11-01
1007,Neha,150,Female,Mumbai,7000,2021-08-14,Platinum,neha@gmail.com,9876541111,120000.0,2023-07-30
1008,Karan,28,Male,Delhi,8000,2023-01-12,Gold,karan@gmail.com,9876542222,20000.0,2024-02-01
1009,Meena,40,Female,Delhi,300,2023-01-15,Silver,meena@gmail.com,9876543333,39000.0,2023-10-20
1010,Ajay,25,Male,Mumbai,4500,2022-12-10,Gold,ajay@gmail.com,9876544444,41000.0,2023-12-10
1011,Ritu,45,Female,Pune,7170,2021-08-14,Gold,ritu@gmail.com,9876545555,68000.0,2023-08-11
1012,Arjun,33,Male,Nashik,12000,2023-01-15,Platinum,arjun@gmail.com,9876546666,72000.0,2023-09-15
1013,Pooja,40,Female,Mumbai,6000,2023-01-12,Silver,pooja@gmail.com,9876547777,54056.0,2023-10-05
1014,Vinay,29,Male,Delhi,500,2023-01-12,Silver,vinay@gmail.com,9876548888,45000.0,2023-11-12
1015,Anita,32,Female,Delhi,3000,2023-06-25,Gold,anita@gmail.com,9876549999,47000.0,2023-07-30
1016,Rohit,34,Male,Delhi,7170,2023-01-10,Gold,rohit@gmail.com,9876541212,53000.0,2023-10-12
1017,Komal,27,Female,Mumbai,2500,2023-03-15,Silver,komal@gmail.com,9876541313,42000.0,2023-11-30
1018,Sameer,40,Male,Pune,3500,2023-01-12,Platinum,sameer@gmail.com,98XXXXXXXX,60000.0,2023-12-01
1019,Neeraj,40,Male,Mumbai,10000,2022-09-10,Gold,neeraj@gmail.com,9876541414,58000.0,2023-09-01
1020,Kavita,31,Female,Delhi,5000,2023-05-10,Silver,kavita@gmail.com,9876541515,49000.0,2023-08-15
